Id,SalePrice
1461,110162.17255467668
1462,150880.20259519966
1463,158627.7153221969
1464,183191.05597319463
1465,212529.48725408566
1466,168627.05608723802
1467,155411.93134910316
1468,163149.22424245183
1469,208293.74572859544
1470,104377.2374065103
1471,212958.14739850097
1472,107065.40849920912
1473,101819.2718539374
1474,164511.00436206072
1475,125282.28948683687
1476,336696.1343894672
1477,259753.27619458706
1478,321235.6854514858
1479,301036.0969629182
1480,417886.5306235382
1481,315548.6166108657
1482,236584.28976105747
1483,176177.91800869265
1484,180616.09955042822
1485,182599.68756025052
1486,205832.9814346658
1487,328187.2365685405
1488,284838.3359895148
1489,190359.96134475205
1490,201967.3329671339
1491,188931.0718102173
1492,112644.7973080463
1493,175096.05970340408
1494,297419.349331526
1495,299477.6855453806
1496,224232.8262281961
1497,191761.67017471165
1498,161527.44081557574
1499,161527.44081557574
1500,147523.12609987144
1501,162828.02123115252
1502,153385.976127734
1503,270822.7968527493
1504,241685.19543184567
1505,226322.93294264664
1506,186294.59387334454
1507,227164.16733390934
1508,198939.23097488369
1509,150967.16033132927
1510,136009.03560484885
1511,143282.57970150362
1512,159596.08630264917
1513,157377.71883870804
1514,135624.54588006323
1515,191371.76565200582
1516,163143.77138788372
1517,148795.76224644895
1518,157529.34548897203
1519,209792.1996849248
1520,120097.06787509
1521,123488.80916132622
1522,179508.90038755862
1523,106098.77618040185
1524,120325.01518334709
1525,110637.45744416822
1526,111145.69558498963
1527,108729.19391229148
1528,125824.6404275519
1529,132664.71532893376
1530,171762.1173137703
1531,138292.00433160475
1532,112736.04947040485
1533,150676.31077122665
1534,141410.78601020086
1535,146546.82494297772
1536,120779.40000294427
1537,90595.11533994344
1538,181073.97102796612
1539,221106.56035227474
1540,136705.56751274868
1541,147216.37253461516
1542,130038.69768736012
1543,197166.18295047904
1544,92822.9793636632
1545,115882.27538894292
1546,146494.14379212135
1547,138404.12869858448
1548,130474.81064923633
1549,111266.6336675605
1550,146744.31703907356
1551,138201.78242943206
1552,142542.36074913188
1553,138296.6380984735
1554,122574.90172512067
1555,156263.21410263717
1556,115830.41344850029
1557,114858.72650366566
1558,108716.40700790138
1559,107846.28566719397
1560,149694.756430357
1561,124573.6038036688
1562,112405.59353400108
1563,104139.29058284432
1564,155715.77309811205
1565,136951.20398618546
1566,202650.2843438472
1567,95477.55511503424
1568,203592.04714143884
1569,122165.4282336611
1570,143570.48748771168
1571,123539.958090942
1572,122262.59565101465
1573,227140.75904757206
1574,139465.91941944067
1575,207262.10392886866
1576,234003.66448485217
1577,189670.8086997268
1578,152159.0543700531
1579,127864.61360656259
1580,194389.62059703804
1581,115542.77744203927
1582,114475.34057346685
1583,319992.2045242782
1584,230888.87842823257
1585,140526.82575980652
1586,70523.80136739704
1587,107458.40494656708
1588,123218.57022453136
1589,114386.7716078193
1590,139468.9694138978
1591,90389.98142995885
1592,142684.01263880922
1593,133553.65658875406
1594,112198.79850312634
1595,132070.69666235143
1596,199113.8177982973
1597,155786.06447073878
1598,182527.80918780345
1599,193948.59690189137
1600,207901.20521781474
1601,61023.17739802452
1602,122330.9064985679
1603,96328.14390181072
1604,261003.9138338144
1605,269032.8463312433
1606,173099.2935103246
1607,201557.05756828462
1608,231014.0208418871
1609,187470.74175202564
1610,132004.3973363517
1611,146925.38466976458
1612,166266.9143326701
1613,165552.45415319016
1614,116900.33988270733
1615,84182.8428528256
1616,84182.8428528256
1617,92571.29622246827
1618,105320.27009529599
1619,117597.18713180981
1620,177537.64345014514
1621,128046.43743000229
1622,121706.35311259422
1623,272064.1176144897
1624,204129.5134313029
1625,118453.63439512812
1626,175625.9687011466
1627,174996.34828153683
1628,278565.6828406393
1629,185936.08132295744
1630,328396.4234273689
1631,213384.09960683144
1632,247979.35621234498
1633,174044.5888507174
1634,178526.53035217678
1635,169943.3548063063
1636,176480.803106614
1637,170636.08239795297
1638,210850.85623313408
1639,198570.99048502365
1640,238913.71936825663
1641,196552.33934222956
1642,220450.83420067077
1643,246807.91425233614
1644,239548.6934721236
1645,169086.60887120888
1646,154202.95778278782
1647,175672.26533222586
1648,132872.80576423355
1649,115263.30813827776
1650,103783.09900180981
1651,103783.09900180981
1652,107065.40849920912
1653,107289.63477179116
1654,157259.89987175
1655,164274.53246705592
1656,156382.75925604967
1657,157259.89987175
1658,158911.33731563657
1659,125687.01842731726
1660,150145.53257773453
1661,363538.1756547887
1662,352199.77367053536
1663,347045.80295606004
1664,445639.95170582266
1665,317134.407925105
1666,304011.4517370329
1667,314258.5043264012
1668,320339.4877192195
1669,302376.7612734545
1670,324054.2192188724
1671,247259.1557319411
1672,401653.6520802864
1673,290284.93016308313
1674,285523.49753147986
1675,193081.15734872236
1676,191500.61605723566
1677,213122.2918756373
1678,435284.66269802256
1679,335257.7527336752
1680,304458.68195869424
1681,261953.8076892332
